node,to,value
1,"""0x5F339e366aa43A269F9c0544De1440F44C04c490""","""0x579a814e10a740000"""
2,"""0xC1f3e34C772f62668169EA650f90088476A5352b""","""0x579a814e10a740000"""
3,"""0x884b5E54637506701FbFbE448519B3c620128D68""","""0x579a814e10a740000"""
4,"""0xA8DeC01e3568DD6C9D468216c3508ab8491eD8CE""","""0x579a814e10a740000"""
5,"""0x7fB80A8B5d2C45061D522e77812441319658665E""","""0x579a814e10a740000"""
6,"""0x8002111E66D3d16ebE984ba042892130d83e98f8""","""0x579a814e10a740000"""
7,"""0x429EE0a4Bd93D0C3543F13B3db830A8DD9A46004""","""0x579a814e10a740000"""
8,"""0x031319797bDF903fDe28c85407962bbAE871C5a7""","""0x579a814e10a740000"""
9,"""0x05076bED78Eb69C8606AB36F3845224a0B48dbF2""","""0x579a814e10a740000"""
10,"""0xBf4049659287C95b42a5065aCe13000562AB5F00""","""0x579a814e10a740000"""
11,"""0x0ccE04BaD9339fee4CF61785D0544F2D0d429Ba5""","""0x579a814e10a740000"""
12,"""0x4FbA49ba460b923d38EF1a1b724F5b1eb6Ff5870""","""0x579a814e10a740000"""
13,"""0x95BeD1a4a423860402Eb6CEC1B557902De92F3a4""","""0x579a814e10a740000"""
14,"""0xf2d4452Fe24FD75670e2ddD30a00FEF99E495490""","""0x579a814e10a740000"""
15,"""0x83A122e98aD1f24E26f5F70F2aDF6e2A4573Ac71""","""0x579a814e10a740000"""
16,"""0xF5B70b6b0B23142cb56B05b632D29277Db43A24c""","""0x579a814e10a740000"""
17,"""0xFC7a3C76a495Eb5f144c166120EBb94A4de1123b""","""0x579a814e10a740000"""
18,"""0xA1eC5103F69fD52476907b3064e8a0f80e926241""","""0x579a814e10a740000"""
19,"""0x54aBF4E827D70E6691dF7bd23a523431a21cfc24""","""0x579a814e10a740000"""
20,"""0x27b2878BD5CcF65a2fd4Bd3e443cB3e1C3EE8631""","""0x579a814e10a740000"""
21,"""0x383776375dC8ec4ae09e86F6299F3690BbC015c5""","""0x579a814e10a740000"""
22,"""0x8Dd9653219E4A83e3078e6ef03617e363eC63F75""","""0x579a814e10a740000"""
23,"""0x61AB60f96CFd77b6dD5281Cf2E8c558534451BC1""","""0x579a814e10a740000"""
24,"""0x616565ABDD5DBEc1e6084638211a217f21BcAd5D""","""0x579a814e10a740000"""
25,"""0x7D9F59F180399d42f679AffB8f0adE6B441d5f4b""","""0x579a814e10a740000"""
26,"""0xb375ae73B97fDa68797c3a197068271D4582F9b3""","""0x579a814e10a740000"""
27,"""0x5ECC002c5Fb9A795837B16A2D9fcc85920602305""","""0x579a814e10a740000"""
28,"""0xB7677A5F6df4Fd7CdE86Ed685C822DF508c72203""","""0x579a814e10a740000"""
29,"""0x21F7400ade2CCE74EB1E26A9E987E6d1A9D19993""","""0x579a814e10a740000"""
30,"""0x10a1104d7aEf745f83bffE2602df94162e6bC1b3""","""0x579a814e10a740000"""
31,"""0xA53F424E3B241c4a579f51639b64B6CE8b139029""","""0x579a814e10a740000"""
32,"""0xA680E38e1a638B6b11130f6DC067B0C03BaaF267""","""0x579a814e10a740000"""
33,"""0x278c7a6F7A98dCe1Eb3E49aC91FD52C5D7Cf8214""","""0x579a814e10a740000"""
34,"""0x858B09E46755b077A8980B3dB4bdAdB391b33264""","""0x579a814e10a740000"""
35,"""0x43d28349B56b6289eD55D84F8F36783b2500C535""","""0x579a814e10a740000"""
36,"""0xcFf649a124089746Af9eE3dfa4f2d5EE1E966370""","""0x579a814e10a740000"""
37,"""0x7aa37707f8881Bc43bFF2490b62485e8Fb4c5710""","""0x579a814e10a740000"""
38,"""0xcAC64bf6687aF10434b892a6884B03ffCDAb72FC""","""0x579a814e10a740000"""
39,"""0x31c6cBF76C289c82517f5CA04f00024A81651F1D""","""0x579a814e10a740000"""
40,"""0x0145F236104D1B56809B38E5699a6c292770Bb73""","""0x579a814e10a740000"""
